x-axis,FFT
Hertz,decibel
+931.559E+00,-125.528790E+00
+933.460E+00,-118.453695E+00
+935.361E+00,-119.703862E+00
+937.262E+00,-123.396869E+00
+939.163E+00,-129.289100E+00
+941.065E+00,-129.423167E+00
+942.966E+00,-117.979542E+00
+944.867E+00,-110.065545E+00
+946.768E+00,-100.523627E+00
+948.669E+00,-94.040856E+00
+950.570E+00,-99.607124E+00
+952.471E+00,-113.297463E+00
+954.373E+00,-123.626852E+00
+956.274E+00,-121.569976E+00
+958.175E+00,-114.190664E+00
+960.076E+00,-114.297348E+00
+961.977E+00,-117.292196E+00
+963.878E+00,-118.291987E+00
+965.779E+00,-118.078713E+00
+967.681E+00,-119.850885E+00
+969.582E+00,-121.082795E+00
+971.483E+00,-122.857960E+00
+973.384E+00,-122.512282E+00
+975.285E+00,-117.578244E+00
+977.186E+00,-114.811552E+00
+979.087E+00,-116.571638E+00
+980.989E+00,-119.433408E+00
+982.890E+00,-128.093146E+00
+984.791E+00,-133.777533E+00
+986.692E+00,-120.593897E+00
+988.593E+00,-115.026042E+00
+990.494E+00,-115.926069E+00
+992.395E+00,-122.693818E+00
+994.297E+00,-124.655387E+00
+996.198E+00,-114.573978E+00
+998.099E+00,-115.589091E+00
